date,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2],electricity
2018-01-01 01:00:00,-15.6,56.039427097959525,4.6,310.0,0.0,0.0,0.0,1045.1768068991908
2018-01-01 02:00:00,-15.6,54.707053309708535,4.85,310.0,0.0,0.0,0.0,951.4324997116889
2018-01-01 03:00:00,-16.1,55.91140222925996,4.6,320.0,0.0,0.0,0.0,640.8548862957904
2018-01-01 04:00:00,-16.7,59.129272486495154,4.6,320.0,0.0,0.0,0.0,1139.322510909597
2018-01-01 05:00:00,-16.7,59.12927103246295,4.6,320.0,0.0,0.0,0.0,1146.5423201225794
2018-01-01 06:00:00,-16.7,55.75716831800185,5.7,320.0,0.0,0.0,0.0,973.7671401627692
2018-01-01 07:00:00,-16.7,53.08301372822755,7.2,310.0,0.0,0.0,0.0,1508.3695269793895
2018-01-01 08:00:00,-16.7,53.08301767818652,5.9,315.0,10.0,71.5,7.5,1478.258435985629
2018-01-01 09:00:00,-16.1,52.72282475508661,6.7,310.0,105.0,394.5,43.0,1731.0460511835363
2018-01-01 10:00:00,-14.4,47.78132236509816,7.7,330.0,257.0,728.0,53.5,1666.5433870475167
2018-01-01 11:00:00,-13.3,43.20943857616814,5.7,320.0,370.5,839.0,60.0,1552.8237167898749
2018-01-01 12:00:00,-11.1,37.19477152800749,7.2,330.0,418.0,843.0,64.5,1393.7874275379236
2018-01-01 13:00:00,-10.6,35.56974393122592,7.2,300.0,422.5,834.5,69.5,1351.4920888107083
2018-01-01 14:00:00,-10.6,35.56974393122592,6.15,300.0,364.0,787.0,65.5,1341.4459960804822
2018-01-01 15:00:00,-10.0,33.720754302268354,6.2,310.0,267.5,726.5,54.0,1232.3393533793535
2018-01-01 16:00:00,-10.6,33.87836485963453,7.7,310.0,131.5,512.5,41.0,1278.815942307227
2018-01-01 17:00:00,-11.7,35.253424347205275,5.1,300.0,19.5,135.5,13.0,1260.4380209349006
2018-01-01 18:00:00,-12.2,36.87796279943255,4.6,300.0,0.0,0.0,0.0,1251.9382545661629
2018-01-01 19:00:00,-12.2,39.10828896680539,3.1,300.0,0.0,0.0,0.0,807.7347805803031
2018-01-01 20:00:00,-12.5,40.199242708223,3.85,300.0,0.0,0.0,0.0,1056.14933238266
2018-01-01 21:00:00,-13.9,47.91995124272178,3.1,270.0,0.0,0.0,0.0,970.3702856905271
2018-01-01 22:00:00,-15.0,53.01507029064648,2.6,260.0,0.0,0.0,0.0,686.4693827305504
2018-01-01 23:00:00,-15.0,53.01506560529524,2.6,260.0,0.0,0.0,0.0,924.7391284219882
2018-01-02 00:00:00,-15.6,59.39817601219215,2.1,270.0,0.0,0.0,0.0,951.6319985775409
2018-01-02 01:00:00,-16.1,58.70281445440399,2.1,270.0,0.0,0.0,0.0,681.6100124560005
2018-01-02 02:00:00,-15.85,60.51999486116576,2.6,265.0,0.0,0.0,0.0,855.0446840718768
2018-01-02 03:00:00,-13.9,59.80939565614732,4.1,260.0,0.0,0.0,0.0,875.9840892061707
2018-01-02 04:00:00,-13.3,59.38600357272736,3.1,280.0,0.0,0.0,0.0,621.8985680593607
2018-01-02 05:00:00,-12.8,60.07272854024846,4.1,280.0,0.0,0.0,0.0,924.7424376954098
2018-01-02 06:00:00,-12.8,54.107636221882295,5.1,290.0,0.0,0.0,0.0,1066.3381973067205
2018-01-02 07:00:00,-13.3,53.46258133166999,4.6,290.0,0.0,0.0,0.0,869.2253557318464
2018-01-02 08:00:00,-13.3,55.04264304711678,3.85,285.0,10.0,63.0,7.5,1173.9171821945047
2018-01-02 09:00:00,-12.2,51.24845269895973,5.1,290.0,106.5,408.5,42.5,1340.3469186050042
2018-01-02 10:00:00,-10.6,46.56166805715497,5.1,300.0,248.0,693.0,54.0,1295.5060024453046
2018-01-02 11:00:00,-10.0,42.08731051694854,4.6,310.0,347.0,765.0,64.0,1264.403475408277
2018-01-02 12:00:00,-8.3,34.20556404819645,4.1,290.0,390.5,745.0,77.5,1203.0439398270348
2018-01-02 13:00:00,-7.2,32.91171238951273,5.7,310.0,394.5,738.5,81.0,1190.7335427135465
2018-01-02 14:00:00,-6.95,35.86170988207765,5.4,300.0,335.0,654.5,84.5,1131.8591589731636
2018-01-02 15:00:00,-6.7,43.01342298037885,4.1,280.0,116.5,53.0,99.5,1047.2519459393502
2018-01-02 16:00:00,-6.7,43.01342298037885,4.1,250.0,69.5,112.5,53.0,997.3386363946755
